tweet,stance
  Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట,against
 వైరల్”RRR” ట్రీట్ కి ఎలాన్ మస్క్ రిప్లై!      …,against
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
వైరల్”RRR” ట్రీట్ కి ఎలాన్ మస్క్ రిప్లై!    …,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 కొమరం భీముడో సాంగ్ లో  అన్నయ్య ఎక్స్ప్రెషన్స్ లైవ్ లో చూసి కంట్లో నీళ్లు వచ్చేసాయ్!!  ప్రే…,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,neutral
 ‘ఆర్ఆర్ఆర్‌’ ప్రొడ్యూసర్ హర్ట్!          #…,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా…,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
" RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
" RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా…,favour
 మీ ఆట తో మీ పాట తో మీ రాత తో బద్దలకొట్టేసారు      …,favour
"   శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
"RRR చెప్పేది ఏంటి అంటే, కనీసం ైసీపీ కి రెండో ప్రాధాన్యత ఓట్లు కూడా వెయ్యలేదు  వీడియో లో  ఉంటుంది",favour
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
   చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
    RRR  రామం రాజసం  రావణుడు  ఫ్యాన్స్ కి దేవుడు…,favour
    RRR  రామం రాజసం  రాముడి ఆగమనం ,favour
 న్యూ జర్సీలో  నాటు నాటు పాటకు టెస్లా కార్ల లైటింగ్ డాన్స్     …,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
మనం RRr అని పొట్టి r అయినా పెడతాం సైడ్ యాక్టర్ కివీడు అది కూడా తీసేసాడు ,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
"‘Naatu, Naatu’ పాట పుట్టింది మణికొండ అంజలీ గార్డెన్సులో     …",favour
"   శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
RRR ని కాస్త RR చేసేసావ్ గా,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,against
 మీ ఆట తో మీ పాట తో మీ రాత తో బద్దలకొట్టేసారు      …,favour
" ఆచార్యనాకు గానీ, నా కొడుకు కి గానీ ఏ సంబంధం లేదు, కంప్లీట్ గా డైరక్టర్ దే వాల్తేరు కి మొత్తం నేనే, రవితేజ చిన్న హీరో RR…",favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,favour
 కొమరం భీముడో సాంగ్ లో  అన్నయ్య ఎక్స్ప్రెషన్స్ లైవ్ లో చూసి కంట్లో నీళ్లు వచ్చేసాయ్!!  ప్రే…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా…,favour
Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ…,favour
  Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
 Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ…,favour
"  ఇచ్చిన పాన్ ఇండియా ఇమేఙ్ ను నిలబెట్టుకుని, మరింత పెంచుకోగలిగింది ఎవరు? (no fan war please)",against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
" ఎన్టీఆర్ అభిమానులు in USA అమెరికా గగనతలంలో ఎన్టీఆర్ పేరు, వినూత్నంగా థాంక్స్ చెప్పిన ఫ్యాన్స్   ",favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
 కేంద్ర హోంమంత్రి  గారిని ఢిల్లీలో RRR ఫేమ్ నటుడు  మరియు  గారు కలిశారు 'ాటునా…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 ఆ మార్గం గాడేదో రీల్స్ కోసం వీడియోలు తీసుకుంటుంటే మీరు ఆడి ముందు అలా నడవ కూడదమ్మా,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
RRR దెబ్బ వల్ల తన సినీ జీవితాన్ని అర్దాంతరంగా ఆపివేస్తాను అని ప్రస్తావించిన జాఎన్టీఆర్,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
ఈసారి నీకు నిజంగా జరుగిద్ది,against
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,against
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 అర్థవంతమైన చర్చలు లేకుండా దాడులేమిటి?  జనసేన అధినేత శ్రీ,favour
" డబ్బులు పంచినా ఎమ్మెల్సీ ఎన్నికల్లో ఓడిపోయామనే బాధ,రాబోయే ఎన్నికల్లో ఓడిపోతామనే భయం జగన్ రెడ్డిని వెంటాడుతుంది5 కోట్ల…",favour
    RRR  రామం రాజసం  రావణుడు  ఫ్యాన్స్ కి దేవుడు…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
"ఎన్టీఆర్ అభిమానులు in USA అమెరికా గగనతలంలో ఎన్టీఆర్ పేరు, వినూత్నంగా థాంక్స్ చెప్పిన ఫ్యాన్స్   ",favour
"   శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
నాటు నాటు పాటకు అమెరికాలో కార్ల లైటింగ్ షో వీడియో వైరల్,favour
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,favour
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,against
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,favour
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 సందేహం లేదు RC యే RRR తర్వాత వెంటనే ఆచార్య తో నిలబెట్టాడు,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
  చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు   ఎన్ టివి  సినిమా కార్యకర్తల గురించి …,neutral
నాటు  నాటు  పాటతో తనకున్న అనుబంధాన్ని పంచుకున్న కరీనా కపూర్,favour
నాటు  నాటు  పాటతో తనకున్న అనుబంధాన్ని పంచుకున్న కరీనా కపూర్,neutral
 భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
